delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
1607142.000,257982.000,66814.000,49709.000,58616.000,34457.000,7948.000,10715.000,66.000,47.000,141.000,0.000
302119.000,94403.000,9033.000,58229.000,13464.000,12773.000,6898.000,2565.000,60.000,38.000,48.000,0.000
470812.000,71788.000,46947.000,15215.000,9264.000,13470.000,2449.000,767.000,47.000,38.000,257.000,0.000
542150.000,108072.000,37266.000,33256.000,5100.000,3613.000,2669.000,2660.000,50.000,53.000,24.000,0.000
361149.000,867396.000,117972.000,164390.000,107415.000,28570.000,10418.000,7221.000,24.000,56.000,60.000,0.000
94180.000,17498.000,7233.000,8975.000,12080.000,6366.000,1394.000,881.000,10.000,53.000,36.000,0.000
1901662.000,144835.000,25742.000,33845.000,30208.000,28809.000,7381.000,4792.000,17.000,51.000,39.000,0.000
110759.000,45486.000,4921.000,6070.000,3975.000,11360.000,2136.000,515.000,23.000,40.000,49.000,0.000
473006.000,219268.000,88256.000,51599.000,61597.000,21714.000,7996.000,3645.000,50.000,26.000,20.000,0.000
1566819.000,185263.000,80477.000,37689.000,51457.000,25210.000,12215.000,2769.000,60.000,34.000,218.000,0.000
140009.000,8970.000,8687.000,10950.000,3148.000,9496.000,3057.000,1242.000,51.000,34.000,-305.000,0.000
2479335.000,155388.000,165017.000,67669.000,63972.000,39826.000,16576.000,5405.000,61.000,48.000,115.000,0.000
386645.000,36815.000,20066.000,9755.000,25187.000,6071.000,1984.000,1489.000,53.000,69.000,44.000,0.000
300134.000,62787.000,57203.000,22382.000,34685.000,18938.000,9055.000,4490.000,56.000,69.000,120.000,0.000
1253143.000,247155.000,39711.000,123644.000,48348.000,32588.000,9616.000,4206.000,63.000,74.000,125.000,0.000
370825.000,69177.000,38118.000,76837.000,40249.000,42771.000,13149.000,3604.000,44.000,64.000,-10.000,0.000
283134.000,494213.000,111687.000,30316.000,38041.000,43177.000,22655.000,3555.000,54.000,63.000,-397.000,0.000
497622.000,127558.000,18462.000,22321.000,17042.000,12622.000,2964.000,3072.000,53.000,56.000,60.000,0.000
1392237.000,382615.000,108553.000,100218.000,65760.000,59345.000,7543.000,3931.000,44.000,44.000,128.000,0.000
388975.000,87277.000,62274.000,85020.000,27452.000,17124.000,9881.000,8660.000,48.000,41.000,240.000,0.000
