delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
508768.000,109552.000,28376.000,25967.000,36661.000,10182.000,4626.000,3499.000,44.000,80.000,54.000,0.000
1658313.000,111510.000,86292.000,64397.000,21745.000,33869.000,3635.000,1378.000,41.000,66.000,-5.000,0.000
217798.000,68364.000,2237.000,18176.000,6557.000,11994.000,3637.000,940.000,44.000,78.000,-313.000,0.000
590231.000,66663.000,22915.000,34399.000,8643.000,3410.000,2209.000,1920.000,56.000,56.000,7.000,0.000
1174234.000,194063.000,147757.000,51458.000,26310.000,23615.000,9049.000,2510.000,41.000,50.000,91.000,0.000
1175996.000,118277.000,28796.000,34259.000,33154.000,19486.000,7908.000,4231.000,41.000,57.000,92.000,0.000
1366280.000,289829.000,27946.000,18855.000,16368.000,22707.000,6575.000,6259.000,40.000,50.000,99.000,0.000
137124.000,39211.000,26372.000,51789.000,10578.000,13705.000,7084.000,3070.000,29.000,44.000,-199.000,0.000
769305.000,429587.000,50987.000,17457.000,9680.000,31282.000,18542.000,10409.000,50.000,50.000,-18.000,0.000
206416.000,384445.000,52588.000,113707.000,19666.000,18202.000,14737.000,4779.000,50.000,35.000,39.000,0.000
611078.000,65627.000,64393.000,16899.000,20029.000,9214.000,4687.000,4477.000,35.000,35.000,105.000,0.000
72318.000,18918.000,6206.000,17708.000,14209.000,7132.000,1338.000,404.000,35.000,51.000,-13.000,0.000
164112.000,22595.000,5777.000,8624.000,8583.000,4725.000,1182.000,322.000,40.000,44.000,-113.000,0.000
723947.000,82990.000,65871.000,11382.000,6266.000,2548.000,720.000,799.000,48.000,54.000,80.000,0.000
58387.000,153537.000,48224.000,8312.000,73058.000,14295.000,9814.000,2479.000,40.000,61.000,-20.000,0.000
1606062.000,608320.000,3715.000,118384.000,57604.000,20259.000,6565.000,1801.000,40.000,50.000,164.000,0.000
524218.000,126705.000,21404.000,31228.000,15169.000,12244.000,7898.000,2577.000,16.000,38.000,-35.000,0.000
173445.000,60215.000,23951.000,89741.000,17369.000,11045.000,5344.000,1695.000,8.000,35.000,81.000,0.000
503585.000,381607.000,52191.000,98703.000,35288.000,27927.000,7837.000,8862.000,26.000,40.000,-108.000,0.000
2093703.000,320042.000,49544.000,54337.000,41086.000,14294.000,4718.000,1579.000,21.000,43.000,4.000,0.000
130001.000,70911.000,8168.000,9619.000,6207.000,8700.000,2601.000,319.000,24.000,48.000,212.000,0.000
25996.000,19227.000,6219.000,1953.000,713.000,1506.000,626.000,382.000,30.000,43.000,35.000,0.000
322264.000,121158.000,41377.000,9651.000,45313.000,40981.000,9360.000,3120.000,27.000,34.000,138.000,0.000
186411.000,133618.000,122397.000,52129.000,64132.000,17686.000,6026.000,1734.000,50.000,29.000,50.000,0.000
416920.000,384732.000,50562.000,19454.000,38833.000,20662.000,10144.000,4054.000,56.000,38.000,37.000,0.000
30094.000,29587.000,263.000,3864.000,2116.000,1688.000,524.000,189.000,47.000,37.000,112.000,0.000
250222.000,46502.000,21402.000,6079.000,3084.000,3280.000,1398.000,3110.000,44.000,26.000,29.000,0.000
316075.000,153458.000,72969.000,16880.000,21675.000,13902.000,6692.000,2347.000,21.000,34.000,-77.000,0.000
2329936.000,230031.000,57896.000,26192.000,10360.000,12673.000,8101.000,11257.000,21.000,27.000,10.000,0.000
1817709.000,172959.000,64016.000,30236.000,43921.000,17039.000,2704.000,3868.000,20.000,35.000,208.000,0.000
92836.000,67601.000,6331.000,51181.000,24110.000,31019.000,10851.000,2600.000,23.000,44.000,5.000,0.000
283893.000,238654.000,131832.000,33796.000,17884.000,12765.000,5511.000,2589.000,47.000,44.000,76.000,0.000
304582.000,88744.000,72352.000,11425.000,27208.000,27970.000,11518.000,3263.000,38.000,47.000,48.000,0.000
967806.000,489834.000,21944.000,30830.000,93212.000,21364.000,6570.000,1448.000,56.000,51.000,56.000,0.000
296284.000,62402.000,53828.000,23618.000,45744.000,24019.000,6103.000,2107.000,50.000,38.000,-298.000,0.000
1043856.000,74000.000,12246.000,13757.000,14453.000,8174.000,1102.000,852.000,44.000,38.000,24.000,0.000
1680202.000,222853.000,133507.000,99618.000,28978.000,41893.000,73919.000,28758.000,56.000,30.000,121.000,0.000
1705381.000,235271.000,38771.000,91319.000,27546.000,22363.000,12142.000,12996.000,50.000,35.000,38.000,0.000
1359040.000,126864.000,77506.000,98232.000,39551.000,14685.000,10295.000,4339.000,54.000,51.000,204.000,0.000
506314.000,40572.000,2068.000,3970.000,3357.000,4920.000,2895.000,1199.000,40.000,56.000,-200.000,0.000
619005.000,90486.000,7789.000,6953.000,8956.000,3892.000,8025.000,2983.000,43.000,48.000,103.000,0.000
811558.000,130211.000,24976.000,52840.000,17122.000,27795.000,16283.000,6809.000,30.000,34.000,56.000,0.000
1249566.000,735646.000,128867.000,11988.000,26450.000,40251.000,29257.000,7886.000,43.000,34.000,48.000,0.000
232002.000,138973.000,15337.000,4087.000,8353.000,7266.000,6363.000,2739.000,41.000,17.000,-28.000,0.000
676922.000,79432.000,14179.000,25847.000,17586.000,18723.000,10155.000,3849.000,30.000,17.000,22.000,0.000
129392.000,46712.000,40031.000,3622.000,8217.000,5991.000,1088.000,1149.000,50.000,24.000,89.000,0.000
579007.000,52103.000,20668.000,43807.000,19492.000,23552.000,9415.000,2895.000,40.000,27.000,-22.000,0.000
714088.000,177708.000,14092.000,12407.000,30889.000,27727.000,6742.000,4926.000,57.000,41.000,128.000,0.000
125887.000,73212.000,84902.000,21041.000,45931.000,25936.000,8285.000,2032.000,70.000,40.000,-3.000,0.000
908288.000,177863.000,87443.000,81209.000,89187.000,9447.000,8285.000,1981.000,69.000,47.000,82.000,0.000
815466.000,214835.000,16346.000,41118.000,16877.000,28211.000,12450.000,3389.000,60.000,44.000,-71.000,0.000
675535.000,178938.000,11190.000,34596.000,15515.000,2536.000,1779.000,947.000,51.000,35.000,60.000,0.000
187388.000,235586.000,112149.000,53727.000,35724.000,41249.000,8127.000,2058.000,24.000,41.000,284.000,0.000
85620.000,11721.000,10706.000,4033.000,2894.000,7337.000,844.000,254.000,21.000,40.000,149.000,0.000
764730.000,84509.000,31484.000,28708.000,14953.000,16566.000,1548.000,2291.000,51.000,41.000,245.000,0.000
1092667.000,85483.000,15707.000,4399.000,11378.000,7723.000,1988.000,1496.000,51.000,41.000,64.000,0.000
291132.000,22662.000,5700.000,2935.000,2287.000,5833.000,3630.000,1191.000,51.000,40.000,67.000,0.000
527642.000,57579.000,102335.000,16796.000,28538.000,11761.000,5435.000,7015.000,83.000,41.000,194.000,0.000
71251.000,124898.000,18903.000,16473.000,13994.000,4356.000,2355.000,1003.000,78.000,50.000,-25.000,0.000
138900.000,78486.000,14148.000,5159.000,10341.000,5614.000,5026.000,1068.000,51.000,40.000,-99.000,0.000
139104.000,152183.000,101035.000,19031.000,27919.000,17524.000,8715.000,3308.000,48.000,40.000,-14.000,0.000
167977.000,295115.000,51696.000,25947.000,70193.000,25546.000,5476.000,1894.000,37.000,48.000,185.000,0.000
85834.000,35169.000,11422.000,6108.000,3528.000,3788.000,2159.000,1127.000,37.000,29.000,18.000,0.000
462485.000,157142.000,18487.000,36977.000,31467.000,19834.000,17868.000,3022.000,47.000,35.000,73.000,0.000
714746.000,85503.000,22032.000,27708.000,20570.000,24169.000,4884.000,5829.000,53.000,38.000,-9.000,0.000
627701.000,411780.000,128781.000,90541.000,72414.000,20285.000,11095.000,3309.000,63.000,35.000,26.000,0.000
1599624.000,49123.000,57946.000,2556.000,13223.000,15534.000,3786.000,3069.000,54.000,41.000,-327.000,0.000
2137459.000,302446.000,120213.000,72063.000,51889.000,31563.000,6462.000,5165.000,61.000,47.000,28.000,0.000
806945.000,31664.000,45256.000,37000.000,57284.000,21745.000,8162.000,2318.000,56.000,51.000,101.000,0.000
